id	gdp_2008	gdp_pps_2008	pop_t_2008
BG425	431000	1008000	156,652
CH011	30077000	24028000	672,039
CH012	10001000	7990000	298,58
CH013	22498000	17973000	438,177
CH021	38155000	30481000	962,982
CH022	8957000	7155000	263,241
CH023	9941000	7942000	250,24
CH024	7016000	5605000	169,782
CH025	2370000	1893000	69,555
CH031	16209000	12949000	185,227
CH032	12301000	9827000	269,145
CH033	24502000	19574000	581,562
CH040	73828000	58979000	1307,567
CH051	2171000	1734000	38,237
CH052	3526000	2817000	74,527
CH053	2063000	1648000	52,654
CH054	579000	463000	15,471
CH055	18341000	14652000	465,937
CH056	7990000	6383000	188,762
CH057	9222000	7367000	238,316
CH061	13520000	10801000	363,475
CH062	1454000	1162000	34,989
CH063	5707000	4559000	141,024
CH064	1112000	888000	33,997
CH065	2104000	1681000	40,287
CH066	7670000	6127000	109,141
CH070	11510000	9195000	328,58
CY000	17287000	19316000	789,269
CZ010	37176000	52877000	1212,097
CZ020	15901000	22617000	1201,827
CZ031	7582000	10785000	633,264
CZ032	6821000	9702000	561,074
CZ041	3017000	4291000	307,449
CZ042	9496000	13506000	831,18
CZ051	4501000	6402000	433,948
CZ052	6564000	9336000	552,212
CZ053	6057000	8616000	511,4
CZ063	5731000	8151000	513,677
CZ064	15775000	22437000	1140,534
CZ071	6852000	9747000	641,791
CZ072	7099000	10097000	590,78
CZ080	15308000	21773000	1249,897
DE111	34225000	32855000	597,176
DE112	15299000	14686000	372,755
DE113	16887000	16211000	514,503
DE114	6757000	6486000	255,807
DE115	16482000	15822000	515,146
DE116	11324000	10871000	417,131
DE117	5262000	5052000	121,627
DE118	10589000	10165000	330,302
DE119	3663000	3516000	109,9
DE11A	6272000	6020000	189,288
DE11B	4232000	4062000	135,387
DE11C	3924000	3767000	133,449
DE11D	10096000	9692000	314,624
DE121	2448000	2350000	54,853
DE122	13908000	13351000	288,917
DE123	12833000	12319000	431,519
DE124	7555000	7252000	227,929
DE125	6461000	6203000	145,311
DE126	15415000	14798000	309,795
DE127	3742000	3592000	149,572
DE128	14414000	13837000	534,989
DE129	4402000	4225000	119,423
DE12A	3592000	3448000	159,644
DE12B	4617000	4433000	195,457
DE12C	3898000	3742000	121,865
DE131	8356000	8021000	219,43
DE132	5609000	5384000	250,183
DE133	3649000	3503000	157,629
DE134	13662000	13115000	417,754
DE135	4416000	4239000	141,551
DE136	6708000	6440000	209,709
DE137	4757000	4566000	135,306
DE138	8024000	7703000	275,12
DE139	6151000	5905000	222,528
DE13A	4232000	4062000	167,2
DE141	8420000	8083000	281,58
DE142	5565000	5342000	217,482
DE143	5517000	5297000	191,531
DE144	6976000	6696000	121,434
DE145	5070000	4867000	190,212
DE146	6958000	6679000	189,089
DE147	7499000	7199000	206,759
DE148	9181000	8814000	276,47
DE149	3873000	3718000	132,419
DE211	7371000	7076000	123,055
DE212	73344000	70408000	1311,573
DE213	2449000	2351000	60,674
DE214	4765000	4574000	108,773
DE215	2770000	2659000	102,383
DE216	3316000	3183000	120,834
DE217	3002000	2882000	136,272
DE218	3153000	3027000	126,4
DE219	2730000	2621000	124,419
DE21A	2933000	2816000	124,876
DE21B	7712000	7403000	164,692
DE21C	4099000	3935000	201,148
DE21D	2104000	2020000	86,872
DE21E	2924000	2807000	113,311
DE21F	2814000	2701000	95,267
DE21G	3360000	3226000	110,536
DE21H	26951000	25872000	315,462
DE21I	2665000	2558000	91,067
DE21J	3235000	3105000	116,407
DE21K	6826000	6553000	248,047
DE21L	4958000	4759000	129,515
DE21M	5171000	4964000	170,546
DE21N	3883000	3727000	131,317
DE221	2956000	2838000	62,629
DE222	2984000	2865000	50,741
DE223	2092000	2009000	44,625
DE224	3617000	3472000	117,594
DE225	1748000	1678000	80,427
DE226	2823000	2710000	113,088
DE227	4012000	3852000	148,286
DE228	4368000	4194000	188,462
DE229	2007000	1927000	80,195
DE22A	3184000	3056000	118,8
DE22B	2102000	2018000	97,81
DE22C	3794000	3642000	91,481
DE231	2039000	1958000	44,216
DE232	9854000	9460000	132,495
DE233	2064000	1981000	42,445
DE234	2229000	2140000	107,069
DE235	3670000	3523000	129,605
DE236	3923000	3765000	128,488
DE237	2166000	2079000	99,007
DE238	3677000	3529000	182,721
DE239	3933000	3775000	144,089
DE23A	1909000	1833000	76,549
DE241	3913000	3756000	69,884
DE242	3589000	3445000	73,097
DE243	2512000	2412000	41,283
DE244	1733000	1663000	47,744
DE245	2752000	2641000	144,949
DE246	2043000	1961000	107,649
DE247	2149000	2063000	90,244
DE248	2225000	2136000	113,389
DE249	2752000	2642000	103,686
DE24A	2079000	1995000	72,289
DE24B	2127000	2042000	76,153
DE24C	2029000	1948000	69,045
DE24D	2105000	2020000	79,433
DE251	1916000	1839000	40,33
DE252	6538000	6276000	104,65
DE253	4601000	4417000	114,13
DE254	23345000	22410000	503,11
DE255	1147000	1101000	38,753
DE256	4719000	4530000	182,293
DE257	3346000	3212000	130,873
DE258	2434000	2337000	114,483
DE259	4327000	4154000	167,444
DE25A	2286000	2195000	99,106
DE25B	2820000	2707000	125,24
DE25C	2304000	2211000	93,711
DE261	3746000	3596000	68,646
DE262	4081000	3918000	53,798
DE263	5884000	5649000	135,212
DE264	4408000	4232000	174,168
DE265	2629000	2524000	106,628
DE266	2307000	2215000	84,676
DE267	2100000	2016000	86,477
DE268	2500000	2400000	89,293
DE269	3457000	3319000	130,303
DE26A	3817000	3664000	130,148
DE26B	2007000	1926000	114,657
DE26C	3402000	3266000	160,761
DE271	11360000	10905000	262,992
DE272	1317000	1265000	42,043
DE273	2694000	2587000	61,703
DE274	2067000	1985000	41,021
DE275	2942000	2824000	127,785
DE276	6149000	5903000	240,976
DE277	2457000	2358000	94,759
DE278	4372000	4197000	121,691
DE279	5068000	4865000	164,135
DE27A	2163000	2077000	80,139
DE27B	3699000	3551000	134,462
DE27C	3526000	3385000	135,898
DE27D	4805000	4613000	130,035
DE27E	3775000	3624000	150,69
DE300	88066000	84540000	3416,255
DE411	1817000	1744000	61,969
DE412	3002000	2882000	177,589
DE413	3228000	3098000	191,64
DE414	4119000	3954000	201,945
DE415	3647000	3501000	188,035
DE416	2058000	1976000	105,812
DE417	1739000	1669000	85,705
DE418	2784000	2673000	134,958
DE421	1713000	1644000	72,954
DE422	3066000	2943000	102,811
DE423	4723000	4534000	150,833
DE424	4742000	4552000	161,699
DE425	2128000	2043000	117,522
DE426	2478000	2378000	155,359
DE427	2670000	2563000	127,278
DE428	3505000	3365000	204,51
DE429	3054000	2931000	132,798
DE42A	3578000	3434000	162,32
DE501	23502000	22561000	547,769
DE502	3769000	3618000	115,313
DE600	86970000	83488000	1770,629
DE711	7697000	7389000	142,191
DE712	53260000	51127000	659,021
DE713	4398000	4222000	118,245
DE714	13165000	12638000	275,849
DE715	6651000	6385000	264,38
DE716	6360000	6106000	289,071
DE717	9107000	8743000	253,013
DE718	8470000	8131000	226,043
DE719	11054000	10611000	408,162
DE71A	9087000	8723000	225,426
DE71B	2227000	2138000	98,954
DE71C	11245000	10795000	336,671
DE71D	3794000	3642000	184,152
DE71E	7414000	7117000	299,054
DE721	7670000	7363000	255,776
DE722	7947000	7628000	258,063
DE723	4050000	3888000	173,754
DE724	7619000	7314000	252,187
DE725	2465000	2366000	113,479
DE731	8619000	8274000	193,803
DE732	6889000	6613000	219,055
DE733	3872000	3717000	125,211
DE734	5400000	5184000	240,728
DE735	4631000	4445000	187,058
DE736	4487000	4308000	166,053
DE737	2478000	2378000	107,156
DE801	1395000	1339000	53,845
DE802	2168000	2082000	66,735
DE803	5605000	5380000	200,413
DE804	3010000	2889000	95,855
