del;delnom
TS1110;Carthage
TS1111;La Medina
TS1112;Bab El Bhar
TS1113;Bab Souika
TS1114;El Omrane
TS1115;El Omrane Supérieur
TS1116;Ettahrir
TS1117;El Menzah
TS1118;Cité El Khadhra
TS1119;Le Bardo
TS111A;Sijoumi
TS111B;Ezzouhour
TS111C;El Hrairia
TS111D;Sidi Hassine
TS111E;El Ouardia
TS111F;El Kabaria
TS111G;Sidi El Béchir
TS111H;Djebel Djelloud
TS111I;La Goulette
TS111J;Le Kram
TS111K;La Marsa
TS1120;Ariana Ville
TS1121;Soukra
TS1122;Raoued
TS1123;Kalaât El Andalous
TS1124;Sidi Thabet
TS1125;Cité Ettadhamen
TS1126;El Mnihla
TS1130;Ben Arous
TS1131;La Nouvelle Medina
TS1132;El Mourouj
TS1133;Hammam Lif
TS1134;Hammam Chôtt
TS1135;Bou Mhel El Bassatine
TS1136;Ezzahra
TS1137;Radès
TS1138;Megrine
TS1139;Mohamedia
TS113A;Fouchana
TS113B;Mornag
TS1140;Mannouba
TS1141;Douar Hicher
TS1142;Oued Ellil
TS1143;Mornaguia
TS1144;Borj Amri
TS1145;Djedeida
TS1146;Tebourba
TS1147;El Battane
TS1150;Nabeul
TS1151;Dar Châabane El Fehri
TS1152;Beni khiar
TS1153;Korba
TS1154;Menzel Temime
TS1155;El Mida
TS1156;Kelibia
TS1157;Hammam El Guezaz
TS1158;El Haouaria
TS1159;Takelsa
TS115A;Soliman
TS115B;Menzel Bouzelfa
TS115C;Beni Khalled
TS115D;Grombalia
TS115E;Bou Argoub
TS115F;Hammamet
TS1160;Zaghouan
TS1161;Ez-Zeriba
TS1162;Bir Mchergua
TS1163;El Fahs
TS1164;En-Nadhour
TS1165;Saouaf
TS1170;Bizerte Nord
TS1171;Zarzouna
TS1172;Bizerte Sud
TS1173;Sedjnane
TS1174;Djoumine
TS1175;Mateur
TS1176;Ghezala
TS1177;Menzel Bourguiba
TS1178;Tinja
TS1179;Utique
TS117A;Ghar El Meleh
TS117B;Menzel Djemil
TS117C;El Alia
TS117D;Ras Djebel
TS1210;Béja Nord
TS1211;Béja Sud
TS1212;Amdoun
TS1213;Nefza
TS1214;Teboursouk
TS1215;Tibar
TS1216;Testour
TS1217;Goubellat
TS1218;Medjez El Bab
TS1220;Jendouba
TS1221;Jendouba Nord
TS1222;Bou Salem
TS1223;Tabarka
TS1224;Ain Draham
TS1225;Fernana
TS1226;Ghardimaou
TS1227;Oued Meliz
TS1228;Balta - Bou Aouane
TS1230;Kef Ouest
TS1231;Kef Est
TS1232;Nebeur
TS1233;Sakiet Sidi Youssef
TS1234;Tajerouine
TS1235;Kalâat Snan
TS1236;Kalâat Khasbah
TS1237;Djerissa
TS1238;El Ksour
TS1239;Dahmani
TS123A;Es-Sers
TS1240;Siliana Nord
TS1241;Siliana Sud
TS1242;Bou Arada
TS1243;Gaâfour
TS1244;El Krib
TS1245;Bourouis
TS1246;Makthar
TS1247;Er-Rouhia
TS1248;Kesra
TS1249;Bargou
TS124A;El Aroussa
TS2110;Sousse Medina
TS2111;Sousse Riadh
TS2112;Sousse Jawhara
TS2113;Sousse Sidi Abdelhamid
TS2114;Hammam Sousse
TS2115;Akouda
TS2116;Kalaâ Kebira
TS2117;Sidi Bou Ali
TS2118;Hergla
TS2119;Enfidha
TS211A;Bouficha
