gouv;gouvnom
TS111;Tunis
TS112;Ariana
TS113;Ben Arous
TS114;Manubah
TS115;Nabeul
TS116;Zaghouan
TS117;Bizerte
TS121;Béja
TS122;Jendouba
TS123;Le Kef
TS124;Siliana
TS211;Sousse
TS212;Monastir
TS213;Mahdia
TS214;Sfax
TS221;Kairouan
TS222;Kassérine
TS223;Sidi Bou Zid
TS311;Gabès
TS312;Médénine
TS313;Tataouine
TS321;Gafsa
TS322;Tozeur
TS323;Kebili
