code;nom;M;MD;Access
TS3234;Douz Sud;4105,7;31179869,36477;201,75
TS214E;Mahres;445,65;31293940,87081;202,49
TS3128;Sidi Makhloulf;686;31630880,47974;204,67
TS3216;Metlaoui;1113,4;31692369,08751;205,07
TS2233;Cebalet Ouled Asker;330,1;31782089,17612;205,65
TS3134;Ghomrassen;666;31797341,73786;205,75
TS2146;Agareb;737,07;31894822,90919;206,38
TS2219;Echrarda;387,1;32129224,0178;207,89
TS222C;Majel Bel Abbes;943,4;32369546,97421;209,45
TS3133;Bir Lahmar;200;32378285,15145;209,5
TS3221;Degach;998;32420644,22905;209,78
TS2218;Nasrallah;714,8;32446965,20977;209,95
TS2224;Sbeitla;1114,8;32448534,18158;209,96
TS214A;Menzel Chaker;1563,7;32519833,83641;210,42
TS2232;Jilma;603,1;32581487,35165;210,82
TS3121;Medenine Sud;688;32634356,01399;211,16
TS2222;Ezzouhour;31,5;32703448,10364;211,61
TS2221;Kasserine Sud;894,6;32734879,89445;211,81
TS3214;Oum El Araies;995,7;32786636,66585;212,15
TS3131;Tataouine Sud;2450;32967582,01788;213,32
TS2217;Hajeb el Ayoun;608,1;32972022,36573;213,35
TS3127;Djerba Ajim;128;33170720,42797;214,63
TS2145;Tina;89,4;33186951,11818;214,74
TS2220;Kasserine Nord;85,1;33344138,37131;215,75
TS221A;Bouhajla;626,7;33464591,27417;216,53
TS3125;Djerba Houmet Souk;177;33521378,96391;216,9
TS3235;Faouar;9671,3;33604628,05006;217,44
TS2144;Sfax Sud;197,73;33618670,35612;217,53
TS2134;Hebira;271,64;33669546,00832;217,86
TS2141;Sfax Ouest;15,58;33732395,95626;218,27
TS3215;Redeyef;480,7;33735530,13442;218,29
TS2215;Haffouz;618,9;33861338,95536;219,1
TS222B;Feriana;903,7;33914069,35609;219,44
TS3220;Tozeur;840;33916360,7121;219,46
TS2140;Sfax Ville;27,09;33934011,39305;219,57
TS2133;Chorbane;443,54;34046605,22625;220,3
TS2225;Sbiba;450,7;34072538,8961;220,47
TS2142;Sakiet Ezzit;96,65;34221982,98;221,43
TS3126;Djerba Midoun;209;34415139,8718;222,68
TS2143;Sakiet Edda•er;113,3;34624594,86314;224,04
TS2216;El Alaa;371,8;34975569,80848;226,31
TS2227;El Ayoun;403,4;34977071,67021;226,32
TS1247;Er-Rouhia;621,79;35160932,82378;227,51
TS3124;Zarzis;867;35213988,0753;227,85
TS2212;Echebika;490,7;35284612,74826;228,31
TS2149;El Hencha;529,32;35334176,0631;228,63
TS2211;Kairouan Sud;573,5;35394046,49215;229,02
TS222A;Foussana;918,4;35463635,52382;229,47
TS2132;Ouled Chamekh;351,11;35472032,03803;229,52
TS2148;El Amra;183,09;35547825,15378;230,01
TS2135;Essouassi;349,87;35610201,85432;230,42
TS3223;Nefta;1500;35965470,01789;232,72
TS2226;Djedeliane;304,6;36088366,86211;233,51
TS3222;Tameghza;854,9;36117370,20936;233,7
TS1248;Kesra;438,68;36181508,92763;234,11
TS3130;Tataouine Nord;2325;36347272,6765;235,19
TS2228;Thala;808,3;36470951,5591;235,99
TS2147;Djebeniana;256,17;36485310,65229;236,08
TS2136;El Djem;290,33;36512237,45059;236,25
TS2210;Kairouan Nord;250,3;36715078,67938;237,57
TS2214;EL Ouslatia;905,4;37138720,55458;240,31
TS2131;Bou Merdes;193,99;37216740,98923;240,81
TS1246;Makthar;351,12;37246135,70361;241
TS211C;Sidi El Heni;367,34;37429619,78896;242,19
TS2139;Sidi Alouane;290,86;37558759,60615;243,02
TS2229;Hidra;449,6;37607729,45908;243,34
TS2123;Zermadine;193,74;37665922,16359;243,72
TS2138;Melloulech;157,45;37677186,11355;243,79
TS214F;Kerkenah;159,7;37749327,67079;244,26
TS1238;El Ksour;456,45;37783034,97694;244,48
TS1241;Siliana Sud;478,79;37926463,51681;245,4
TS211D;Msaken;337,21;38002521,28722;245,9
TS3132;Smar;2004;38032579,96518;246,09
TS3224;Hazoua;1400;38286288,68294;247,73
TS2124;Beni Hassen;101,3;38403457,34379;248,49
TS2213;Sbikha;1047,1;38483271,25999;249,01
TS1236;Kalaat Khasbah;217,6;38628966,63914;249,95
TS2137;Chebba;118,86;38668722,35162;250,21
TS2125;Jammel;146,89;38806599,88241;251,1
TS213A;Ksour Essef;220,82;38944023,34435;251,99
TS1237;Djerissa;174,61;38951987,39936;252,04
TS211E;Kalaa Seghira;106,04;38952810,70496;252,05
TS1240;Siliana Nord;379,11;39040120,61472;252,61
TS211B;Kondar;198,55;39078177,29041;252,86
TS2121;Ouerdanine;53,72;39200669,6324;253,65
TS3123;Ben Guerdane;4732;39238785,97461;253,9
TS2127;Moknine;196,69;39292929,05882;254,25
TS1249;Bargou;442,7;39370935,24108;254,75
TS2116;Kalaa Kebira;244,43;39416400,36113;255,04
TS1239;Dahmani;530;39453433,4675;255,28
TS2111;Sousse Riadh;42,85;39592519,24995;256,18
TS2126;Bembla;49,86;39643506,27619;256,51
TS2130;Mahdia;168;39685939,52492;256,79
TS2122;Sahline;44,33;39748180,23844;257,19
TS212B;Ksibet El Mediouni;38,62;39839910,15131;257,79
TS123A;Es-Sers;435;39866588,67148;257,96
TS2112;Sousse Jawhara;13,52;39927518,76022;258,35
TS2113;Sousse Sidi Abdelhamid;11,7;39954219,68038;258,52
TS212A;Ksar Helal;23,89;40089713,12707;259,4
TS2110;Sousse Medina;7,63;40177856,56557;259,97
TS2114;Hammam Sousse;17,6;40245939,26157;260,41
TS1164;En-Nadhour;350,1;40287417,9643;260,68
TS2120;Monastir;67,3;40305816,94227;260,8
TS2117;Sidi Bou Ali;121,66;40330210,09614;260,96
TS212C;Sayada-Lamta Bou-Hjar;12,68;40386069,80575;261,32
TS1235;Kalaat Snan;516,06;40431394,29655;261,61
TS2115;Akouda;45,22;40575049,15001;262,54
TS2129;Teboulba;19,06;40717037,41005;263,46
TS2128;Bekalta;46,23;40720099,20676;263,48
TS1234;Tajerouine;668,57;40838126,49009;264,24
TS1245;Bourouis;273,11;40839118,95679;264,25
TS3136;Remada;27380;41055031,89627;265,65
TS2118;Hergla;96,71;41112388,28797;266,02
TS1243;Gaafour;494,45;41132167,03784;266,15
TS2119;Enfidha;389,33;41562740,02984;268,93
TS1231;Kef Est;396,6;41668709,42867;269,62
TS1163;El Fahs;938,7;41815254,29224;270,57
TS1165;Saouaf;262,6;41840632,32805;270,73
TS1242;Bou Arada;393,72;41848289,17742;270,78
TS1230;Kef Ouest;225,4;42429759,82122;274,54
TS3135;Dhehiba;3864;42434482,81197;274,57
TS124A;El Aroussa;334,34;42723368,09598;276,44
TS1244;El Krib;434,19;42908490,02131;277,64
TS1161;Ez-Zeriba;345;43284766,30393;280,08
TS211A;Bouficha;270,28;43830766,6884;283,61
TS1233;Sakiet Sidi Youssef;731,31;43835833,59669;283,64
TS1232;Nebeur;729,4;43865349,69692;283,83
TS1214;Teboursouk;401,75;44183363,66493;285,89
TS1160;Zaghouan;421,2;44298634,15193;286,64
TS1217;Goubellat;405,25;44803129,28474;289,9
TS1215;Tibar;109,5;44935009,61705;290,75
TS1162;Bir Mchergua;549,3;45074449,81418;291,66
TS1220;Jendouba;239;45339458,7698;293,37
TS1216;Testour;618,56;45559882,28518;294,8
TS115F;Hammamet;320,9;45960563,81434;297,39
TS1222;Bou Salem;336,49;46023479,8192;297,8
TS1227;Oued Meliz;193,27;46466730,18254;300,66
TS1211;Beja Sud;456,64;46749572,27388;302,49
TS1221;Jendouba Nord;264;46789818,65927;302,75
TS113B;Mornag;396,661;46992588,03205;304,07
TS1218;Medjez El Bab;469,75;47102215,91424;304,78
TS1139;Mohamedia;96,241;47162918,14201;305,17
TS1150;Nabeul;71,6;47460980,62891;307,1
TS1144;Borj Amri;174,8;47528013,81056;307,53
TS115E;Bou Argoub;131,2;47568026,00687;307,79
TS1143;Mornaguia;249,1;47597365,03598;307,98
TS115D;Grombalia;298,1;47688392,82016;308,57
TS1226;Ghardimaou;516,35;47866847,76808;309,72
TS1228;Balta - Bou Aouane;274,89;48040765,69729;310,85
TS113A;Fouchana;37,346;48142974,96204;311,51
TS1151;Dar Chaabane El Fehri;71,9;48194705,73266;311,84
TS1147;El Battane;151,4;48376632,71307;313,02
TS1225;Fernana;408;48579184,06555;314,33
TS1152;Beni khiar;106;48587063,77286;314,38
TS111D;Sidi Hassine;67,351;48594416,60959;314,43
TS1132;El Mourouj;16,099;48609988,27304;314,53
TS1134;Hammam Choott;26,187;48656053,18408;314,83
TS1135;Bou Mhel El Bassatine;20,057;48701847,16498;315,13
TS1131;La Nouvelle Medina;8,114;48781592,42025;315,64
TS1210;Beja Nord;416;48831657,46937;315,97
TS111F;El Kabaria;14,339;48875900,13679;316,25
TS1130;Ben Arous;6,644;48877122,57895;316,26
TS1133;Hammam Lif;11,516;48880288,93963;316,28
TS1136;Ezzahra;7,081;48927923,51435;316,59
TS111E;El Ouardia;4,171;49004131,9876;317,08
TS111H;Djebel Djelloud;5,326;49071229,03206;317,52
TS115C;Beni Khalled;118,1;49074637,16397;317,54
TS111C;El Hrairia;24,253;49113381,52616;317,79
TS1212;Amdoun;244,1;49160657,21628;318,1
TS1138;Megrine;11,712;49191029,69761;318,29
TS111A;Sijoumi;2,044;49297315,07357;318,98
TS111B;Ezzouhour;2,842;49324112,57262;319,15
TS111G;Sidi El Bechir;2,697;49325449,52018;319,16
TS1137;Rades;19,213;49325181,3863;319,16
TS1140;Mannouba;11,9;49449509,04417;319,96
TS1111;La Medina;1,523;49450307,84011;319,97
TS1142;Oued Ellil;56,4;49465246,95911;320,07
TS1119;Le Bardo;6,795;49546990,90302;320,59
TS1113;Bab Souika;2,218;49550537,99077;320,62
TS1146;Tebourba;279,8;49559902,30649;320,68
TS1112;Bab El Bhar;5,721;49566875,44391;320,72
TS115A;Soliman;140,1;49623145,31068;321,09
TS1114;El Omrane;4,922;49686665,55427;321,5
TS1125;Cite Ettadhamen;3,376;49708138,02683;321,64
TS1141;Douar Hicher;9,6;49712138,97181;321,66
TS1116;Ettahrir;1,809;49740567,11383;321,85
TS1115;El Omrane Superieur;3,374;49919294,26562;323
TS1174;Djoumine;558,27;49944565,31208;323,17
TS1117;El Menzah;10,732;49981371,5331;323,41
TS1224;Ain Draham;501;50011773,36125;323,6
TS1145;Djedeida;179,3;50041251,03624;323,79
TS1153;Korba;206,1;50046131,41694;323,82
TS115B;Menzel Bouzelfa;141,7;50103325,49062;324,19
TS1118;Cite El Khadhra;19,758;50145323,0283;324,47
TS1126;El Mnihla;22,907;50147599,00971;324,48
TS111I;La Goulette;11,98;50262000,42141;325,22
TS1120;Ariana Ville;18,612;50377153,40611;325,97
TS111J;Le Kram;10,348;50522937,67284;326,91
TS1110;Carthage;8,302;50689109,50277;327,99
TS1124;Sidi Thabet;97,08;50760883,00054;328,45
TS1121;Soukra;27,895;51005646,85897;330,03
TS111K;La Marsa;31,571;51278247,56886;331,8
TS1175;Mateur;564,54;51331722,00777;332,14
TS1122;Raoued;57,08;51380357,05417;332,46
TS1223;Tabarka;369;51380452,83903;332,46
TS1155;El Mida;154,4;51476420,40701;333,08
TS1159;Takelsa;270;51697534,94678;334,51
TS1213;Nefza;618,45;51836902,35228;335,41
TS1179;Utique;386,93;52323166,49853;338,56
TS1123;Kalaat El Andalous;188,206;52587392,16271;340,27
TS1176;Ghezala;403,89;52848712,40046;341,96
TS1154;Menzel Temime;260,8;52953417,77819;342,64
TS1177;Menzel Bourguiba;121,38;53355401,85913;345,24
TS1178;Tinja;39,67;53493994,13831;346,13
TS1173;Sedjnane;609,2;53759074,69527;347,85
TS117C;El Alia;81,92;54277986,93601;351,21
TS1156;Kelibia;128;54636284,08347;353,53
TS117A;Ghar El Meleh;95,26;54688189,22971;353,86
TS117B;Menzel Djemil;83,98;55087831,66126;356,45
TS1158;El Haouaria;332,4;55155155,97229;356,88
TS1172;Bizerte Sud;398,75;55186386,47801;357,08
TS117D;Ras Djebel;81,95;55541556,15376;359,38
TS1171;Zarzouna;7,12;55553606,75841;359,46
TS1157;Hammam El Guezaz;77,8;55631091,35366;359,96
TS1170;Bizerte Nord;53,52;56327081,44397;364,47
