code;nom;M;Access;IndShimble
TS1161;Ez-Zeriba;21397;112,301641221374;337,837485806187
TS1232;Nebeur;27910;112,772480916031;336,426970604531
TS1244;El Krib;21154;113,209618320611;335,127921858122
TS213A;Ksour Essef;49856;113,440458015267;334,445970916579
TS221A;Bouhajla;71289;113,666488549618;333,780911210042
TS2135;Essouassi;48438;113,702366412214;333,675589341665
TS2232;Jilma;38057;113,831335877863;333,297539113882
TS124A;El Aroussa;9613;113,930229007634;333,008231903013
TS222A;Foussana;42533;114,826832061069;330,408001693888
TS1160;Zaghouan;35436;114,946221374046;330,064822215234
TS2218;Nasrallah;36345;115,435267175573;328,666490323383
TS115F;Hammamet;114351;115,600992366412;328,195315156834
TS2136;El Djem;42159;115,633129770992;328,104101283739
TS2139;Sidi Alouane;36797;116,258549618321;326,339045572943
TS1150;Nabeul;61366;116,630687022901;325,297784747575
TS1220;Jendouba;72860;116,702213740458;325,098409928316
TS1227;Oued Meliz;18373;116,714083969466;325,065346287283
TS1214;Teboursouk;23841;116,719732824427;325,049614183123
TS2134;Hebira;10581;116,732977099237;325,012734746619
TS2224;Sbeitla;72928;117,507480916031;322,870542593358
TS1226;Ghardimaou;70195;117,600534351145;322,615065751765
TS1215;Tibar;10217;117,893167938931;321,814272916902
TS1152;Beni khiar;38035;118,116526717557;321,205720964515
TS1151;Dar Chaabane El Fehri;44322;118,170610687023;321,05871249681
TS1162;Bir Mchergua;23722;118,212824427481;320,944062591212
TS115E;Bou Argoub;29116;118,589770992366;319,923917591337
TS2137;Chebba;24671;118,608435114504;319,873574636666
TS2233;Cebalet Ouled Asker;19342;118,765839694656;319,449634841797
TS1217;Goubellat;16547;118,819351145038;319,305767591896
TS2133;Chorbane;29732;119,154885496183;318,406618110113
TS2220;Kasserine Nord;62348;119,352786259542;317,878663005274
TS1221;Jendouba Nord;45053;119,406870229008;317,734683518408
TS1222;Bou Salem;33018;120,106641221374;315,883482681103
TS1216;Testour;32372;121,167824427481;313,11698713254
TS115D;Grombalia;60826;121,203702290076;313,024300456899
TS2138;Melloulech;20328;121,330267175573;312,697771177214
TS113B;Mornag;56366;121,370877862595;312,593142525418
TS2219;Echrarda;25773;121,392595419847;312,537218525722
TS2222;Ezzouhour;21255;121,781908396947;311,538098076715
TS115C;Beni Khalled;35994;122,221450381679;310,417721305527
TS1153;Korba;64080;122,268358778626;310,298629188517
TS2221;Kasserine Sud;22159;123,691946564885;306,72735918369
TS2149;El Hencha;44761;123,776946564885;306,516723631156
TS1139;Mohamedia;52104;123,906106870229;306,197209164782
TS1211;Beja Sud;38084;124,028435114504;305,895209329306
TS1225;Fernana;53050;124,196183206107;305,482045766056
TS2231;Sidi Bouzid Est;52162;124,388816793893;305,008963828331
TS223B;Ouled Haffouz;18020;124,731297709924;304,171485575099
TS1134;Hammam Choott;29153;125,489732824427;302,333133302776
TS115B;Menzel Bouzelfa;34923;125,618969465649;302,022093347233
TS2147;Djebeniana;47198;125,975229007634;301,167971044835
