code;nom;M;POT
TS2128;Bekalta;14373;40720099,20676
TS1234;Tajerouine;30270;40838126,49009
TS1245;Bourouis;15489;40839118,95679
TS3136;Remada;10150;41055031,89627
TS2118;Hergla;8354;41112388,28797
TS1243;Gaafour;17719;41132167,03784
TS2119;Enfidha;45860;41562740,02984
TS1231;Kef Est;40315;41668709,42867
TS1163;El Fahs;43915;41815254,29224
TS1165;Saouaf;12234;41840632,32805
TS1242;Bou Arada;20871;41848289,17742
TS1230;Kef Ouest;30622;42429759,82122
TS3135;Dhehiba;4069;42434482,81197
TS124A;El Aroussa;9613;42723368,09598
TS1244;El Krib;21154;42908490,02131
TS1161;Ez-Zeriba;21397;43284766,30393
TS211A;Bouficha;25388;43830766,6884
TS1233;Sakiet Sidi Youssef;20207;43835833,59669
TS1232;Nebeur;27910;43865349,69692
TS1214;Teboursouk;23841;44183363,66493
TS1160;Zaghouan;35436;44298634,15193
TS1217;Goubellat;16547;44803129,28474
TS1215;Tibar;10217;44935009,61705
TS1162;Bir Mchergua;23722;45074449,81418
TS1220;Jendouba;72860;45339458,7698
TS1216;Testour;32372;45559882,28518
TS115F;Hammamet;114351;45960563,81434
TS1222;Bou Salem;33018;46023479,8192
TS1227;Oued Meliz;18373;46466730,18254
TS1211;Beja Sud;38084;46749572,27388
TS1221;Jendouba Nord;45053;46789818,65927
TS113B;Mornag;56366;46992588,03205
TS1218;Medjez El Bab;40696;47102215,91424
TS1139;Mohamedia;52104;47162918,14201
TS1150;Nabeul;61366;47460980,62891
TS1144;Borj Amri;24440;47528013,81056
TS115E;Bou Argoub;29116;47568026,00687
TS1143;Mornaguia;33286;47597365,03598
TS115D;Grombalia;60826;47688392,82016
TS1226;Ghardimaou;70195;47866847,76808
TS1228;Balta - Bou Aouane;45176;48040765,69729
TS113A;Fouchana;66484;48142974,96204
TS1151;Dar Chaabane El Fehri;44322;48194705,73266
TS1147;El Battane;17740;48376632,71307
TS1225;Fernana;53050;48579184,06555
TS1152;Beni khiar;38035;48587063,77286
TS111D;Sidi Hassine;85425;48594416,60959
TS1132;El Mourouj;113339;48609988,27304
TS1134;Hammam Choott;29153;48656053,18408
TS1135;Bou Mhel El Bassatine;35185;48701847,16498
TS1131;La Nouvelle Medina;45884;48781592,42025
TS1210;Beja Nord;70167;48831657,46937
TS111F;El Kabaria;83516;48875900,13679
TS1130;Ben Arous;30378;48877122,57895
TS1133;Hammam Lif;38631;48880288,93963
TS1136;Ezzahra;33665;48927923,51435
TS111E;El Ouardia;32936;49004131,9876
TS111H;Djebel Djelloud;26056;49071229,03206
TS115C;Beni Khalled;35994;49074637,16397
TS111C;El Hrairia;98606;49113381,52616
TS1212;Amdoun;22048;49160657,21628
TS1138;Megrine;22189;49191029,69761
TS111A;Sijoumi;34361;49297315,07357
TS111B;Ezzouhour;39198;49324112,57262
TS1137;Rades;48087;49325181,3863
TS111G;Sidi El Bechir;27517;49325449,52018
TS1140;Mannouba;55043;49449509,04417
TS1111;La Medina;25757;49450307,84011
TS1142;Oued Ellil;66223;49465246,95911
TS1119;Le Bardo;68560;49546990,90302
TS1113;Bab Souika;31762;49550537,99077
TS1146;Tebourba;42606;49559902,30649
TS1112;Bab El Bhar;36753;49566875,44391
TS115A;Soliman;45091;49623145,31068
TS1114;El Omrane;41702;49686665,55427
TS1125;Cite Ettadhamen;82922;49708138,02683
TS1141;Douar Hicher;83317;49712138,97181
TS1116;Ettahrir;22980;49740567,11383
TS1115;El Omrane Superieur;65237;49919294,26562
TS1174;Djoumine;35513;49944565,31208
TS1117;El Menzah;46346;49981371,5331
TS1224;Ain Draham;38379;50011773,36125
TS1145;Djedeida;43216;50041251,03624
TS1153;Korba;64080;50046131,41694
TS115B;Menzel Bouzelfa;34923;50103325,49062
TS1118;Cite El Khadhra;38860;50145323,0283
TS1126;El Mnihla;69247;50147599,00971
