id;nom;idr;dist
TS2236;Menzel Bouzaenne;0,112;75536,5672576613
TS223B;Ouled Haffouz;0,164;87330,0519767737
TS223A;Regueb;0,211;66760,2578410744
TS2233;Cebalet Ouled Asker;0,135;128401,845130208
TS2235;Sidi Ali Ben Aon;0,158;107888,932899508
TS2231;Sidi Bouzid Est;0,231;100985,947039831
TS2230;Sidi Bouzid Ouest;0,309;103063,551693141
TS2238;Souk Jedid;0,042;80181,2566216978
TS1249;Bargou;0,175;77914,7556204574
TS1242;Bou Arada;0,278;74213,2308494671
TS1245;Bourouis;0,2;89777,8227526613
TS1244;El Krib;0,255;71803,3461854197
TS1243;Gaafour;0,211;93068,147607472
TS2114;Hammam Sousse;0,624;1951,11134207696
TS2118;Hergla;0,407;4891,37368839605
TS2116;Kalaa Kebira;0,432;14409,5188186992
TS211E;Kalaa Seghira;0,421;14769,115307897
TS211B;Kondar;0,313;25077,2982189922
TS211D;Msaken;0,518;19495,2483543875
TS2117;Sidi Bou Ali;0,382;10125,3545323947
TS211C;Sidi El Heni;0,297;30478,9004096296
TS2112;Sousse Jawhara;0,679;1987,24602197444
TS2110;Sousse Medina;0,686;553,376425842651
TS2111;Sousse Riadh;0,465;5283,73494653031
TS2113;Sousse Sidi Abdelhamid;0,657;3142,00087537367
TS3133;Bir Lahmar;0,192;36286,8779620316
TS3135;Dhehiba;0,109;148474,074450189
TS3134;Ghomrassen;0,167;57407,6458345546
TS3136;Remada;0,208;208840,655474363
TS3132;Smar;0,122;48444,259816675
TS3130;Tataouine Nord;0,234;67270,2412637647
TS3131;Tataouine Sud;0,19;86839,2377452758
TS3221;Degach;0,2;160097,863314673
TS3224;Hazoua;0,18;219848,710633903
TS3223;Nefta;0,269;198393,723097289
TS3222;Tameghza;0,112;197844,519185478
TS3220;Tozeur;0,335;177343,79454179
TS1112;Bab El Bhar;1;741,764669898479
TS1113;Bab Souika;0,922;2625,26737010236
TS1119;Le Bardo;0,476;5872,36543810845
TS111J;Le Kram;0,48;1460,46832327689
TS1110;Carthage;0,513;1580,75298744675
TS1118;Cite El Khadhra;0,791;1386,89960697277
TS1117;El Menzah;0,654;3623,35462818306
TS111E;El Ouardia;0,401;2026,30003324629
TS1116;Ettahrir;0,501;5963,03468556938
TS111B;Ezzouhour;0,38;5471,2070067839
TS111C;El Hrairia;0,422;11502,8350119334
TS111H;Djebel Djelloud;0,356;1010,88199524778
TS111F;El Kabaria;0,428;2461,82318594381
TS111I;La Goulette;0,61;1318,8947471977
TS111K;La Marsa;0,588;2451,60948830554
TS1111;La Medina;0,418;2255,83574925275
TS1114;El Omrane;0,42;3352,15599191236
TS1115;El Omrane Superieur;0,462;6295,49841491441
TS111G;Sidi El Bechir;0,545;1579,71089861696
TS111D;Sidi Hassine;0,397;9591,83811943766
TS111A;Sijoumi;0,317;3035,6716193752
TS1162;Bir Mchergua;0,425;34489,750970788
TS1163;El Fahs;0,297;58312,6633904516
TS1164;En-Nadhour;0,162;43843,1379323404
TS1165;Saouaf;0,162;28840,0155914406
TS1160;Zaghouan;0,417;33042,903222995
TS1161;Ez-Zeriba;0,366;25472,9622476585
TS2145;Tina;0,441;5788,51805885215
TS1171;Zarzouna;0,423;983,800411246971
TS3233;Douz Nord;0,26;102529,487205853
TS1153;Korba;0,392;7178,40977451472
